NCO_2015_Code,NCO_2004_Code,NCO_Job_Title,ONET_Code,ONET_Job_Title,Match_Score,LM_AIOE_Raw,AI_Automatability,AI_Exposure_Category,Match_Type
6112.01,6112.3,"Pruner, Tea Gardens",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.02,6112.4,"Tapper, Palm Juice",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.0201,,Neera Technician,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.03,6112.5,"Tapper, Rubber",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.04,6112.65,Budder,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.0501,,Tea Plantation Worker,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.0601,,Coffee Plantation Worker,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
6112.0701,,Bamboo Grower,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6112.0801,,Rubber Nursery Worker – Budder,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6112.0802,,Rubber Nursery Worker – General,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6112.99,6112.9,"Tree and Shrub Crop Growers, Other",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6113.01,6113.1,Planter,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6113.02,6113.2,Nurseryman,37-3011.00,Landscaping and Groundskeeping Workers,80,-1.656,5.238095238095243,Low,direct
6113.0301,6113.3,"Gardener, General",37-3011.00,Landscaping and Groundskeeping Workers,95,-1.656,5.238095238095243,Low,direct
6113.04,6113.4,Groundsman,37-3011.00,Landscaping and Groundskeeping Workers,80,-1.656,5.238095238095243,Low,direct
6113.0501,,Greenhouse Fitter,37-3011.00,Landscaping and Groundskeeping Workers,80,-1.656,5.238095238095243,Low,direct
6113.0601,,Floriculturist – (Open Cultivation),37-3011.00,Landscaping and Groundskeeping Workers,80,-1.656,5.238095238095243,Low,direct
6113.0602,,Floriculturist – (Protected Cultivation),37-3011.00,Landscaping and Groundskeeping Workers,80,-1.656,5.238095238095243,Low,direct
6113.99,6113.9,"Nursery Workers and Gardeners, Other",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6114.99,6114.9,"Mixed Crop Growers, Other",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6116.0101,,Agriculture Extension Executive,45-2099.00,"Agricultural Workers, All Other",60,-0.9569999999999999,23.730158730158735,Low,prefix_5
6116.0102,,Agriculture Extension Service Provider,45-2099.00,"Agricultural Workers, All Other",60,-0.9569999999999999,23.730158730158735,Low,prefix_5
6116.0112,,Community Service Provider,45-2099.00,"Agricultural Workers, All Other",60,-0.9569999999999999,23.730158730158735,Low,prefix_5
6121.01,6121.1,"Farmer, Livestock",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6121.0201,6121.15,"Farmer, Dairy/Dairy Farmer/Entrepreneur",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6121.03,6121.2,"Livestock Worker, General",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.04,6121.25,Herdsman,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.05,6121.3,Livestock Workers/Other Livestock Workers,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.0601,6121.35,"Dairy Farm Worker, General/Dairy Worker",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.07,6121.4,Milker,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.08,6121.45,"Milker, Machine",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.1,6121.55,Stableman,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.11,6121.6,Elephant Keeper,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.12,6121.65,"Shearer, Sheep",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.13,6121.7,"Shearer, Animal, Other/Shearer, Other",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.14,6121.75,Grass Cutter,45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6121.99,6121.9,"Dairy and Livestock Producers, Other",45-2021.00,Animal Breeders,80,-0.941,24.153439153439155,Low,direct
6122.0101,6122.1,"Farmer, Poultry/Broiler Farm Supervisor",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6122.02,6122.2,"Farmer, Poultry Breeding",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6122.0301,6122.3,"Poultry Farm Worker, General/Broiler Farm",45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",80,-1.089,20.23809523809524,Low,direct
6122.0401,6122.4,Hatchery Operator/Hatchery In-Charge,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",80,-1.089,20.23809523809524,Low,direct
6122.99,6122.9,"Poultry Farm Workers, Other",45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",80,-1.089,20.23809523809524,Low,direct
6123.0101,6123.1,Beekeeper,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",80,-1.089,20.23809523809524,Low,direct
6123.0201,6123.2,"Rearer, Silkworm/ Sericulturist",19-1029.04,Biologists,95,0.883,72.4074074074074,Medium-High,base_soc
6123.99,6123.9,"Apiarists and Sericulturists, Other",19-1029.04,Biologists,95,0.883,72.4074074074074,Medium-High,base_soc
6129.01,6129.1,"Farmer, Fur-Bearing Animals",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6129.02,,Mixed Animal Producers 6124,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",80,-1.089,20.23809523809524,Low,direct
